CaptureName,Malware,InfectionDate,FileName,URL,Path
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.biargus,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.biargus,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.biargus
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.binetflow,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.binetflow,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.binetflow
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.capinfos,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.capinfos,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.capinfos
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.dnstop,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.dnstop,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.dnstop
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.html,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.html,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.html
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.json,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.json,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.json
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.passivedns,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.passivedns,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.passivedns
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.pcap,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.pcap,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.pcap
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.pcap.capinfos,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.pcap.capinfos,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.pcap.capinfos
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.report.pdf,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.report.pdf,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.report.pdf
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.168.3.104-unvirus.tcpdstat,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.tcpdstat,publicDatasets/CTU-Malware-Capture-Botnet-90/192.168.3.104-unvirus.tcpdstat
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,192.weblogng,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/192.weblogng,publicDatasets/CTU-Malware-Capture-Botnet-90/192.weblogng
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,README.html,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/README.html,publicDatasets/CTU-Malware-Capture-Botnet-90/README.html
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,README.md,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/README.md,publicDatasets/CTU-Malware-Capture-Botnet-90/README.md
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,conn.log,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/bro/conn.log,publicDatasets/CTU-Malware-Capture-Botnet-90/bro/conn.log
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,dns.log,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/bro/dns.log,publicDatasets/CTU-Malware-Capture-Botnet-90/bro/dns.log
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,files.log,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/bro/files.log,publicDatasets/CTU-Malware-Capture-Botnet-90/bro/files.log
CTU-Malware-Capture-Botnet-90,Conficker,2009-09-07,http.log,https://mcfp.felk.cvut.cz/publicDatasets/CTU-Malware-Capture-Botnet-90/bro/http.log,publicDatasets/CTU-Malware-Capture-Botnet-90/bro/http.log
